event_id,event_date,jurisdiction,event_type,fine_amount_usd,company_affected,relevance_to_fia,notes,lag_from_internal_event,lag_days
REG-036,2024-01-25 00:00:00,EDPB,audit_request,0.0,other_ai_co_b,low,,,
REG-023,2024-01-25 00:00:00,APRA,guidance_published,0.0,other_ai_co_a,high,,,
REG-050,2024-02-05 00:00:00,CFTC,fine_issued,2483563.57,other_ai_co_a,low,,,
REG-017,2024-02-05 00:00:00,EDPB,consent_order,0.0,other_ai_co_b,high,,,
REG-033,2024-03-22 00:00:00,BaFin,fine_issued,1063505.06,other_ai_co_a,high,,,
REG-038,2024-04-12 00:00:00,EDPB,guidance_published,0.0,industry_wide,low,,,
REG-006,2024-04-24 00:00:00,JFSA,consent_order,0.0,other_ai_co_b,medium,,,
REG-041,2024-04-28 00:00:00,EDPB,fine_issued,0.0,other_ai_co_a,medium,,,
REG-011,2024-05-05 00:00:00,CFTC,guidance_published,0.0,other_ai_co_a,medium,,,
REG-024,2024-05-31 00:00:00,EDPB,fine_issued,0.0,other_ai_co_a,low,,,
REG-007,2024-06-05 00:00:00,FTC,investigation_opened,0.0,other_ai_co_b,medium,,,
REG-001,2024-06-12 00:00:00,EDPB,investigation_opened,0.0,synthetic_frontier_ai_co,high,Investigation into AI API abuse patterns at frontier companies,March 2024 api_abuse spike,102.0
REG-019,2024-06-29 00:00:00,BaFin,consent_order,0.0,other_ai_co_a,low,,,
REG-014,2024-07-01 00:00:00,EDPB,guidance_published,0.0,industry_wide,medium,,,
REG-004,2024-08-03 00:00:00,EDPB,guidance_published,0.0,synthetic_frontier_ai_co,medium,EDPB guidance on AI-generated content and fraud liability,,
REG-044,2024-08-09 00:00:00,CFTC,audit_request,0.0,other_ai_co_a,medium,,,
REG-027,2024-08-18 00:00:00,APRA,guidance_published,3720136.77,other_ai_co_a,low,,,
REG-008,2024-08-24 00:00:00,FCA,guidance_published,39761.16,other_ai_co_a,medium,,,
REG-037,2024-09-09 00:00:00,APRA,fine_issued,0.0,other_ai_co_a,low,,,
REG-003,2024-09-18 00:00:00,FCA,fine_issued,1915240.06,synthetic_frontier_ai_co,high,FCA penalty for inadequate AI platform fraud controls,,
REG-022,2024-09-29 00:00:00,FCA,consent_order,0.0,other_ai_co_a,low,,,
REG-010,2024-10-22 00:00:00,FTC,investigation_opened,0.0,other_ai_co_b,low,,,
REG-002,2024-11-07 00:00:00,FTC,investigation_opened,0.0,synthetic_frontier_ai_co,high,FTC inquiry into AI safety bypass monetization practices,August 2024 safety_bypass peak,99.0
REG-046,2024-11-10 00:00:00,CFTC,consent_order,125848.33,industry_wide,low,,,
REG-030,2024-11-10 00:00:00,EDPB,audit_request,0.0,other_ai_co_b,low,,,
REG-025,2024-11-20 00:00:00,FTC,fine_issued,0.0,industry_wide,low,,,
REG-018,2024-11-25 00:00:00,BaFin,audit_request,0.0,industry_wide,medium,,,
REG-009,2024-12-01 00:00:00,JFSA,fine_issued,2177336.24,other_ai_co_a,low,,,
REG-028,2024-12-19 00:00:00,EDPB,audit_request,0.0,other_ai_co_a,low,,,
REG-012,2024-12-21 00:00:00,JFSA,fine_issued,0.0,industry_wide,low,,,
REG-049,2025-01-02 00:00:00,APRA,consent_order,4564010.34,synthetic_frontier_ai_co,low,,,
REG-039,2025-01-07 00:00:00,EDPB,consent_order,0.0,other_ai_co_b,low,,,
REG-013,2025-01-23 00:00:00,BaFin,consent_order,3751347.37,other_ai_co_b,medium,,,
REG-043,2025-01-24 00:00:00,JFSA,guidance_published,2798270.57,industry_wide,low,,,
REG-005,2025-01-25 00:00:00,JFSA,investigation_opened,0.0,industry_wide,medium,,,
REG-040,2025-01-30 00:00:00,FTC,guidance_published,3114630.82,other_ai_co_a,low,,,
REG-016,2025-02-20 00:00:00,EDPB,audit_request,2180159.1,industry_wide,low,,,
REG-015,2025-02-22 00:00:00,BaFin,fine_issued,1671338.88,industry_wide,low,,,
REG-020,2025-02-26 00:00:00,FCA,audit_request,1055753.81,other_ai_co_a,low,,,
REG-031,2025-03-07 00:00:00,BaFin,audit_request,0.0,industry_wide,low,,,
REG-032,2025-03-11 00:00:00,CFTC,investigation_opened,0.0,industry_wide,low,,,
REG-047,2025-03-18 00:00:00,JFSA,audit_request,0.0,synthetic_frontier_ai_co,medium,,,
REG-035,2025-04-09 00:00:00,EDPB,fine_issued,0.0,other_ai_co_b,high,,,
REG-021,2025-04-22 00:00:00,EDPB,guidance_published,0.0,other_ai_co_b,low,,,
REG-042,2025-05-20 00:00:00,JFSA,guidance_published,0.0,other_ai_co_a,low,,,
REG-026,2025-05-20 00:00:00,FCA,investigation_opened,0.0,synthetic_frontier_ai_co,low,,,
REG-048,2025-05-21 00:00:00,EDPB,guidance_published,0.0,other_ai_co_a,medium,,,
REG-034,2025-06-08 00:00:00,APRA,investigation_opened,2951517.07,industry_wide,low,,,
REG-045,2025-06-21 00:00:00,FTC,audit_request,914064.05,other_ai_co_a,low,,,
REG-029,2025-06-23 00:00:00,EDPB,investigation_opened,0.0,other_ai_co_b,medium,,,
